,state,x,y
0,Andhra Pradesh,-73.0,-157.0
1,Arunachal Pradesh,221.0,139.0
2,Assam,192.0,89.0
3,Bihar,58.0,70.0
4,Chhattisgarh,-9.0,-27.0
5,Goa,-169.0,-146.0
6,Gujarat,-215.0,13.0
7,Haryana,-117.0,139.0
8,Himachal Pradesh,-98.0,197.0
9,Jharkhand,48.0,26.0
10,Karnataka,-141.0,-175.0
11,Kerala,-122.0,-260.0
12,Madhya Pradesh,-99.0,15.0
13,Maharashtra,-150.0,-62.0
14,Manipur,221.0,58.0
15,Meghalaya,157.0,71.0
16,Mizoram,206.0,22.0
17,Nagaland,235.0,90.0
18,Odisha,37.0,-41.0
19,Punjab,-132.0,177.0
20,Rajasthan,-170.0,85.0
21,Sikkim,114.0,111.0
22,Tamil Nadu,-86.0,-248.0
23,Telangana,-71.0,-94.0
24,Tripura,182.0,32.0
25,Uttar Pradesh,-43.0,94.0
26,Uttarakhand,-64.0,161.0
27,West Bengal,100.0,14.0
